index,object_id,category,embedding_caption_before_manual_judgement,present_attributes_before_manual_judgement,contact_sheet
114,03001627_1767c5e3771b0510f5225bf5a419e95,chair,"A chair with single main body, curved shell, distinct seat, and backrest.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1767c5e3771b0510f5225bf5a419e95.png
115,03001627_1769c3cf3391d5c1a1d7c136d0e341,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1769c3cf3391d5c1a1d7c136d0e341.png
116,03001627_177849848dc83fb9cb85ba5866080618,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_177849848dc83fb9cb85ba5866080618.png
117,03001627_17883ea5a837f5731250f48219951972,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17883ea5a837f5731250f48219951972.png
118,03001627_179b88264e7f96468b442b160bcfb7fd,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_179b88264e7f96468b442b160bcfb7fd.png
119,03001627_17ab0917e215e4fcfd300048280f015a,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17ab0917e215e4fcfd300048280f015a.png
120,03001627_17aeeadccf0e560e274b862d3a151946,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17aeeadccf0e560e274b862d3a151946.png
121,03001627_17b558e72a4d76ef8517036a5ca6b1c7,chair,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17b558e72a4d76ef8517036a5ca6b1c7.png
122,03001627_17b77403b80de623f1783a44a88d6274,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats, perforations or holes, open gaps, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_perforations_or_holes; has_open_gaps; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17b77403b80de623f1783a44a88d6274.png
123,03001627_17b7a0e3c70dbc3d90a6b1b2b5522960,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17b7a0e3c70dbc3d90a6b1b2b5522960.png
124,03001627_17d4c0f1b707e6dd19fb4103277a6b93,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17d4c0f1b707e6dd19fb4103277a6b93.png
125,03001627_17d7a3e8badbd881fceff3d071111703,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17d7a3e8badbd881fceff3d071111703.png
126,03001627_17dee0cfe9a370b134bce1184e175df4,chair,"A chair with single main body, boxy volume, curved shell, flat horizontal surface, distinct seat, and backrest.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17dee0cfe9a370b134bce1184e175df4.png
127,03001627_17e916fc863540ee3def89b32cef8e45,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17e916fc863540ee3def89b32cef8e45.png
128,03001627_17f9eb6c0d818d45d7b20fded0142d7a,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_17f9eb6c0d818d45d7b20fded0142d7a.png
129,03001627_18005751014e6ee9747c474f2e537e26,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18005751014e6ee9747c474f2e537e26.png
130,03001627_1803116582841b39a8ecfcf20e8cc0a,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1803116582841b39a8ecfcf20e8cc0a.png
131,03001627_18052e6175456b9e7984fb9ec7e40829,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18052e6175456b9e7984fb9ec7e40829.png
132,03001627_181b65afaeca2ee1a6536c847a708e24,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_181b65afaeca2ee1a6536c847a708e24.png
133,03001627_1820138eca42749262e4024c69de065d,chair,"A chair with single main body, flat horizontal surface, distinct seat, backrest, and four or more legs.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1820138eca42749262e4024c69de065d.png
134,03001627_1825f6f71e68da9da36af77e45b32071,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats and cylindrical parts.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1825f6f71e68da9da36af77e45b32071.png
135,03001627_182c47283b90d8b2d85934de5898f0b,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_182c47283b90d8b2d85934de5898f0b.png
136,03001627_183974726abab0454aa6191ddaf4b676,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_183974726abab0454aa6191ddaf4b676.png
137,03001627_184007a6dee70847c2a9692bf3ba76d3,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_184007a6dee70847c2a9692bf3ba76d3.png
138,03001627_1842797b090ce2ecebc1a7ae7c4c250d,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1842797b090ce2ecebc1a7ae7c4c250d.png
139,03001627_184b4797cea77beb5ca1c42bb8ac17a,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, and slats.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_184b4797cea77beb5ca1c42bb8ac17a.png
140,03001627_184c07776b38d92e35836c728d324152,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_184c07776b38d92e35836c728d324152.png
141,03001627_185bcb9bcec174c9492d9da2668ec34c,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_185bcb9bcec174c9492d9da2668ec34c.png
142,03001627_1861715e59337785dd7092ed47061a36,chair,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1861715e59337785dd7092ed47061a36.png
143,03001627_187222bc1f81d57b781d9dcb8ecbccc,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_187222bc1f81d57b781d9dcb8ecbccc.png
144,03001627_1878633a36518ffc19fb4103277a6b93,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1878633a36518ffc19fb4103277a6b93.png
145,03001627_18845d9336d8be637b11ae648ea92233,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, cylindrical parts, and partly hidden supports.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18845d9336d8be637b11ae648ea92233.png
146,03001627_1886b3e3f3d4af3ace522e6dda26fb51,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1886b3e3f3d4af3ace522e6dda26fb51.png
147,03001627_18bf93e893e4069e4b3c42e318f3affc,chair,"A chair with single main body, curved shell, backrest, armrests, and four or more legs.",has_single_main_body; has_curved_shell; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18bf93e893e4069e4b3c42e318f3affc.png
148,03001627_18d391ede29e2edb990561fc34164364,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18d391ede29e2edb990561fc34164364.png
149,03001627_18e5d3054fba58bf6e30a0dcfb43d654,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and slats.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18e5d3054fba58bf6e30a0dcfb43d654.png
150,03001627_18f2f833d95ad137111c729c2fe5f751,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18f2f833d95ad137111c729c2fe5f751.png
151,03001627_18f57a3d41117140ed98cca8f0ccd5f7,chair,"A chair with single main body, flat horizontal surface, distinct seat, backrest, armrests, and four or more legs. Reconstruction-relevant geometry includes slats and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18f57a3d41117140ed98cca8f0ccd5f7.png
152,03001627_18fd8342fa5d1d4f5268b70948af88b2,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18fd8342fa5d1d4f5268b70948af88b2.png
153,03001627_18fe5de83a17c6b5876b399a99a15c0f,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_18fe5de83a17c6b5876b399a99a15c0f.png
154,03001627_191360ba29f3d296ff458e602ebccbb0,chair,"A chair with single main body, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_191360ba29f3d296ff458e602ebccbb0.png
155,03001627_1926843fb9da47ad8852b93498ca8c83,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and central support.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_pedestal_or_central_support,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1926843fb9da47ad8852b93498ca8c83.png
156,03001627_19319101e064eb1019fb4103277a6b93,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19319101e064eb1019fb4103277a6b93.png
157,03001627_1937193cf5079b623eec26c23f5bc80b,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1937193cf5079b623eec26c23f5bc80b.png
158,03001627_1953d62a63721f17df6cfab91d65bb91,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats and cylindrical parts.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1953d62a63721f17df6cfab91d65bb91.png
159,03001627_195464ae11f6bfe1cba091e036bf65ed,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_195464ae11f6bfe1cba091e036bf65ed.png
160,03001627_1959a7d986720364c8687ff9b0b4e4ac,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1959a7d986720364c8687ff9b0b4e4ac.png
161,03001627_195c379defdff8b81dff5c2e57ad46e,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_195c379defdff8b81dff5c2e57ad46e.png
162,03001627_19666f52289092a3394a3bbfc81460,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19666f52289092a3394a3bbfc81460.png
163,03001627_196b9e195ccd4a0de03ab2a27ba7531,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_196b9e195ccd4a0de03ab2a27ba7531.png
164,03001627_197ae965385b8187ae663e348bd216d3,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_197ae965385b8187ae663e348bd216d3.png
165,03001627_19861e56a952fe97b8230112437913fd,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19861e56a952fe97b8230112437913fd.png
166,03001627_1986eeb9bb594bf9a6d7a9f3c5f7bb41,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1986eeb9bb594bf9a6d7a9f3c5f7bb41.png
167,03001627_198bd40d94930950df6cfab91d65bb91,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_198bd40d94930950df6cfab91d65bb91.png
168,03001627_1997d5827caf81df67d783b4714d4324,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1997d5827caf81df67d783b4714d4324.png
169,03001627_19a3ac2ec0312e13c8687ff9b0b4e4ac,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19a3ac2ec0312e13c8687ff9b0b4e4ac.png
170,03001627_19c01531fed8ae0b260103f81999a1e1,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19c01531fed8ae0b260103f81999a1e1.png
171,03001627_19c8189116dd7cd3e95c611687989498,chair,"A chair with single main body, boxy volume, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19c8189116dd7cd3e95c611687989498.png
172,03001627_19cbb7fd3ba9324489a921f93b6641da,chair,"A chair with single main body, curved shell, backrest, and four or more legs.",has_single_main_body; has_curved_shell; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19cbb7fd3ba9324489a921f93b6641da.png
173,03001627_19ce953da9aa8065d747a43c11e738e9,chair,"A chair with single main body, curved shell, distinct seat, backrest, armrests, pedestal or central support, star base or wheels, concavity, and cylindrical parts.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_pedestal_or_central_support; has_star_base_or_wheels; has_concavity; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19ce953da9aa8065d747a43c11e738e9.png
174,03001627_19d3ba04e165e67dcb4387db711dc078,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_cylindrical_parts; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19d3ba04e165e67dcb4387db711dc078.png
175,03001627_19d7da928d179a07febad4f49b26ec52,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19d7da928d179a07febad4f49b26ec52.png
176,03001627_19d7db03d81663394733824eae5cd9ae,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19d7db03d81663394733824eae5cd9ae.png
177,03001627_19dbb6cbd039caf0a419f44cba56de45,chair,"A chair with single main body, boxy volume, distinct seat, and backrest.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19dbb6cbd039caf0a419f44cba56de45.png
178,03001627_19e2321df1141bf3b76e29c9c43bc7aa,chair,"A chair with single main body, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and slats.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19e2321df1141bf3b76e29c9c43bc7aa.png
179,03001627_19ee0ca97ed377fb69fffd0daafdccbc,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19ee0ca97ed377fb69fffd0daafdccbc.png
180,03001627_19f597c6dbff03c114038d588fd1342f,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19f597c6dbff03c114038d588fd1342f.png
181,03001627_19ff1d5665c1a68677b8fc2abf845259,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_19ff1d5665c1a68677b8fc2abf845259.png
182,03001627_1a38407b3036795d19fb4103277a6b93,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1a38407b3036795d19fb4103277a6b93.png
